State Code,District Code,Sub District Code,India/ State/ Union Territory/ District/ Sub-district,Name,Total/Rural/Urban,Number of villages Inhabited,Number of villages unhabited,Number of towns,Number of households,Population,"Area
 (In sq. km)",Population per sq. km.,lattitude,longitude,elevation,temp (min),temp (max),temp (mean),terrorist attacks,maoist attacks,border,LWE areas
1,0,0.0,STATE,JAMMU & KASHMIR,Total,6337,216,122,2119718,12541302,222236.0,124.0,33.66,75.163,5338.0,14.0,95.0,57.04,0,0,0,0
1,1,0.0,DISTRICT,Kupwara,Total,353,9,10,113929,870354,2379.0,366.0,34.5266,74.2567,5338.0,14.0,95.0,57.04,10,0,1,0
1,1,1.0,SUB-DISTRICT,Kupwara,Total,118,4,7,63022,540914,301.94,1791.0,35.0,74.0,5299.0,14.0,95.0,57.04,10,0,1,0
1,1,2.0,SUB-DISTRICT,Handwara,Total,196,3,1,39485,269311,291.47,924.0,34.0,74.0,5190.0,14.0,95.0,57.04,10,0,1,0
1,1,3.0,SUB-DISTRICT,Karnah,Total,39,2,2,11422,60129,69.89,860.0,34.0,73.0,5039.0,14.0,95.0,57.04,10,0,1,0
1,2,0.0,DISTRICT,Badgam,Total,462,12,9,103363,753745,1361.0,554.0,34.0,74.0,10000.0,14.0,95.0,57.04,3,0,1,0
1,2,4.0,SUB-DISTRICT,"Khag, Jammu and Kashmir",Total,49,0,0,8799,67596,61.12,1106.0,34.0,74.0,10000.0,14.0,95.0,57.04,3,0,1,0
1,2,5.0,SUB-DISTRICT,"Beerwah, Jammu and Kashmir",Total,102,2,2,20914,163333,134.07,1218.0,34.0,75.0,1296.0,14.0,95.0,57.04,3,0,1,0
1,2,6.0,SUB-DISTRICT,"Khan Sahib, Jammu and Kashmir",Total,96,3,1,16432,123312,125.91,979.0,34.0,75.0,6665.0,14.0,95.0,57.04,3,0,1,0
1,2,7.0,SUB-DISTRICT,Budgam,Total,95,2,2,19774,133855,146.16,916.0,34.0,75.0,5281.0,14.0,95.0,57.04,3,0,1,0
1,2,8.0,SUB-DISTRICT,Chadoora,Total,104,4,3,30390,212233,194.67,1090.0,34.0,75.0,5174.0,14.0,95.0,57.04,3,0,1,0
1,2,9.0,SUB-DISTRICT,Charar- E- Shrief,Total,16,1,1,7054,53416,58.85,908.0,34.0,75.0,6342.0,14.0,95.0,57.04,3,0,1,0
1,3,0.0,DISTRICT,Leh(Ladakh),Total,111,1,3,21909,133487,45110.0,3.0,33.0,77.0,11750.0,-24.52,13.9,20.84,0,0,2,0
1,3,10.0,SUB-DISTRICT,Leh,Total,60,1,3,15497,93961,171.06,549.0,33.0,77.0,14100.0,-24.52,13.9,20.84,0,0,2,0
1,3,0.0,Village,Tangtse,Total,27,-1,-1,3605,22432,165.82,133.0,34.03015,78.16773,12950.0,-7.0,70.0,61.0,0,0,2,0
1,3,11.0,SUB-DISTRICT,Nubra,Total,28,0,0,3606,22433,166.82,134.0,35.0,78.0,10000.0,-7.0,70.0,61.0,0,0,2,0
1,3,12.0,SUB-DISTRICT,Khalatse,Total,23,0,0,2806,17093,56.01,305.0,34.0,77.0,10784.0,-7.0,70.0,61.0,0,0,2,0
1,4,0.0,DISTRICT,Kargil,Total,125,2,1,18338,140802,14036.0,10.0,35.0,76.0,14334.0,1.04,73.04,42.08,0,0,2,0
1,4,13.0,SUB-DISTRICT,Kargil,Total,64,2,1,10867,86461,84.16,1027.0,35.0,76.0,14334.0,1.04,73.04,42.08,0,0,2,0
1,4,14.0,SUB-DISTRICT,Sanku,Total,36,0,0,5144,40548,60.49,670.0,34.0,76.0,10500.0,1.04,73.04,42.08,0,0,2,0
